C,P,n
-1.6892436979661676,0.968853274738019,767
-1.267208177032312,0.9730976762523997,767
-1.0944583489047717,0.9761574664312285,767
-0.9841542582325294,0.9715094392804028,766
-0.8976127623817086,0.9706713967685499,768
-0.8309124469721705,0.9700061436651621,769
-0.7716418159840595,0.9648377630449716,769
-0.7189471483012183,0.9642117499152336,763
-0.6731865497371102,0.9647649718851765,765
-0.6310234962994266,0.9595984039614361,772
-0.5892197762912685,0.9624257883556527,771
-0.5526308582900241,0.9577517701262056,760
-0.5175254347390494,0.9517745165438138,764
-0.48546920687764156,0.9534291564184982,771
-0.45458286176251805,0.955727506868008,783
-0.4248001709109248,0.950417713147506,745
-0.3953459350008296,0.9433759529015057,795
-0.3685655203255123,0.9394948077760513,741
-0.34405206918047515,0.9426298618449646,802
-0.3201056045465531,0.9372605150957795,758
-0.2970711486355957,0.9367910193814316,779
-0.27363313305722076,0.933007496639779,790
-0.25078575369441247,0.927134646374038,773
-0.22721912145594544,0.9297536186610417,757
-0.2022354215347009,0.9264627803416831,770
-0.17717475019311155,0.9147305567131141,764
-0.1504159952366188,0.9231035220195968,771
-0.12327039946794252,0.9205440604206037,729
-0.09544525557906693,0.9171703134125494,777
-0.067115346763886,0.9153753286936962,774
-0.03569302874926177,0.9054995831230332,803
-0.0011355542320138927,0.9130303924712124,804
0.03028997682748964,0.9006544405702528,747
0.0639252930579873,0.9017311370420892,711
0.10064463431771016,0.8929029431334107,855
0.14090302899304868,0.8805158268635049,797
0.1826860576339284,0.8893824649876931,742
0.22445455013041876,0.874959531639312,641
0.26941735358597924,0.8753981418214088,794
0.31792158357133676,0.8566794456196629,888
0.3818986375158394,0.8515762429662257,806
0.46854024817887363,0.8648457317989846,665
0.5997124686044755,0.8557896689868765,1202
0.7193744567678346,0.849336529261801,576
0.8252938161368142,0.8292424768414021,801
1.0063641569507977,0.819168100148174,1259
3.412374766154003,0.769419140357772,2197
