athlete_name,race_rank,round_number,shooting_accuracy,hits,total_shots,avg_shot_time,total_round_time,cognitive_load,shot_pattern
Eric Perrot,1,1,1.0,5,5,4.96,24.8,0.44300000000000006,54321
Eric Perrot,1,2,0.8,4,5,5.6,27.999999999999996,0.49666666666666665,54320
Eric Perrot,1,3,1.0,5,5,3.8600000000000003,19.3,0.6296666666666666,12345
Eric Perrot,1,4,1.0,5,5,4.28,21.400000000000002,0.6906666666666667,12345
Quentin Fillon Maillet,2,1,0.8,4,5,3.7600000000000002,18.8,0.41633333333333333,12045
Quentin Fillon Maillet,2,2,0.8,4,5,5.08,25.4,0.4473333333333333,12045
Quentin Fillon Maillet,2,3,0.8,4,5,3.7600000000000002,18.8,0.5663333333333332,10345
Quentin Fillon Maillet,2,4,1.0,5,5,3.4,17.0,0.6533333333333333,12345
Sturla Holm Laegreid,3,1,1.0,5,5,4.66,23.3,0.353,54321
Sturla Holm Laegreid,3,2,0.8,4,5,5.779999999999999,28.9,0.3906666666666667,54301
Sturla Holm Laegreid,3,3,1.0,5,5,4.6,23.0,0.505,54321
Sturla Holm Laegreid,3,4,0.8,4,5,4.1,20.5,0.5966666666666667,54021
Danilo Riethmueller,4,1,1.0,5,5,4.6,23.0,0.3350000000000001,12345
Danilo Riethmueller,4,2,1.0,5,5,5.08,25.400000000000002,0.394,12345
Danilo Riethmueller,4,3,1.0,5,5,4.9,24.500000000000004,0.475,54321
Danilo Riethmueller,4,4,0.8,4,5,5.26,26.3,0.538,54021
Vebjoern Soerum,5,1,0.8,4,5,4.48,22.400000000000002,0.32566666666666666,04321
Vebjoern Soerum,5,2,1.0,5,5,5.08,25.400000000000002,0.38066666666666665,54321
Vebjoern Soerum,5,3,0.8,4,5,5.58,27.9,0.43899999999999995,54301
Vebjoern Soerum,5,4,0.8,4,5,4.220000000000001,21.1,0.5593333333333332,50321
Vetle Sjaastad Christiansen,6,1,1.0,5,5,5.040000000000001,25.200000000000003,0.29747619047619045,54321
Vetle Sjaastad Christiansen,6,2,1.0,5,5,5.1000000000000005,25.500000000000004,0.3704761904761904,54321
Vetle Sjaastad Christiansen,6,3,0.8,4,5,4.54,22.7,0.46414285714285713,50321
Vetle Sjaastad Christiansen,6,4,0.8,4,5,5.26,26.299999999999997,0.5151428571428571,04321
Endre Stroemsheim,7,1,1.0,5,5,4.0,20.0,0.32499999999999996,12345
Endre Stroemsheim,7,2,1.0,5,5,5.54,27.7,0.3486666666666667,12345
Endre Stroemsheim,7,3,0.6,3,5,3.8800000000000003,19.400000000000002,0.479,10305
Endre Stroemsheim,7,4,1.0,5,5,3.56,17.8,0.5646666666666667,12345
Tarjei Boe,8,1,1.0,5,5,5.66,28.3,0.2641111111111111,12345
Tarjei Boe,8,2,1.0,5,5,5.58,27.900000000000002,0.34177777777777774,12345
Tarjei Boe,8,3,0.6,3,5,4.779999999999999,23.9,0.4434444444444444,50021
Tarjei Boe,8,4,1.0,5,5,6.640000000000001,33.2,0.45644444444444443,54321
Johannes Thingnes Boe,9,1,0.8,4,5,5.16,25.8,0.2763333333333333,54301
Johannes Thingnes Boe,9,2,1.0,5,5,5.4,27.0,0.3433333333333333,54321
Johannes Thingnes Boe,9,3,0.6,3,5,4.74,23.700000000000003,0.44033333333333335,04021
Johannes Thingnes Boe,9,4,0.8,4,5,4.5,22.5,0.5233333333333333,54021
Sebastian Samuelsson,10,1,0.8,4,5,4.859999999999999,24.299999999999997,0.28269696969696967,10345
Sebastian Samuelsson,10,2,0.8,4,5,4.9799999999999995,24.9,0.35369696969696973,10345
Sebastian Samuelsson,10,3,0.8,4,5,4.9399999999999995,24.7,0.43003030303030304,04321
Sebastian Samuelsson,10,4,0.6,3,5,6.040000000000001,30.200000000000003,0.4683636363636363,00321
Justus Strelow,11,1,1.0,5,5,2.8200000000000003,14.100000000000001,0.3476666666666666,54321
Justus Strelow,11,2,0.8,4,5,4.44,22.200000000000003,0.36866666666666664,54021
Justus Strelow,11,3,0.8,4,5,4.4,22.000000000000004,0.44499999999999995,04321
Justus Strelow,11,4,0.8,4,5,4.1000000000000005,20.500000000000004,0.5299999999999999,54320
Anton Dudchenko,12,1,1.0,5,5,4.74,23.7,0.28110256410256407,54321
Anton Dudchenko,12,2,1.0,5,5,5.76,28.8,0.3221025641025641,54321
Anton Dudchenko,12,3,1.0,5,5,6.980000000000001,34.900000000000006,0.3564358974358974,54321
Anton Dudchenko,12,4,1.0,5,5,4.539999999999999,22.699999999999996,0.5127692307692308,54321
Jakov Fak,13,1,1.0,5,5,5.4,27.0,0.25690476190476186,12345
Jakov Fak,13,2,1.0,5,5,5.02,25.099999999999998,0.3445714285714286,12345
Jakov Fak,13,3,1.0,5,5,4.8,24.0,0.4269047619047619,12345
Jakov Fak,13,4,0.8,4,5,6.1,30.499999999999996,0.4585714285714286,02345
Emilien Jacquelin,14,1,0.6,3,5,4.88,24.4,0.2723333333333333,04301
Emilien Jacquelin,14,2,1.0,5,5,5.06,25.299999999999997,0.3413333333333334,54321
Emilien Jacquelin,14,3,0.8,4,5,2.0,10.0,0.5183333333333333,12340
Emilien Jacquelin,14,4,0.6,3,5,3.66,18.3,0.538,12300
Vitezslav Hornig,15,1,0.8,4,5,5.1,25.5,0.26333333333333336,04321
Vitezslav Hornig,15,2,0.8,4,5,5.68,28.4,0.319,54320
Vitezslav Hornig,15,3,1.0,5,5,5.119999999999999,25.599999999999998,0.4126666666666666,54321
Vitezslav Hornig,15,4,0.8,4,5,5.239999999999999,26.199999999999996,0.4836666666666667,54021
Thierry Langer,16,1,1.0,5,5,4.3,21.5,0.28852941176470587,54321
Thierry Langer,16,2,0.8,4,5,4.72,23.599999999999998,0.34952941176470587,54320
Thierry Langer,16,3,0.8,4,5,5.840000000000001,29.200000000000003,0.3871960784313725,54021
Thierry Langer,16,4,1.0,5,5,5.799999999999999,28.999999999999996,0.46352941176470586,54321
