rank,bib,family name,given name,nation,lane,shooting 1,time,shooting 2,shooting 3,shooting 4
1,8,Perrot,Eric,FRA,1,"15.8s  2.3s  2.5s  2.3s  1.9s  
54321",24.5,"18.7s  2.4s  2.7s  2.2s  2.0s  
54320","11.6s  2.4s  1.9s  1.4s  2.0s  
12345","13.6s  2.4s  2.1s  1.6s  1.7s  
12345"
2,12,Fillon Maillet,Quentin,FRA,7,"8.9s  2.6s  2.4s  2.4s  2.5s  
12045",19.5,"15.6s  2.2s  2.2s  2.9s  2.5s  
12045","10.9s  2.4s  1.7s  1.8s  2.0s  
10345","10.6s  1.8s  1.5s  1.5s  1.6s  
12345"
3,3,Laegreid,Sturla Holm,NOR,2,"15.0s  2.1s  2.2s  2.1s  1.9s  
54321",25.3,"18.9s  2.1s  3.3s  2.4s  2.2s  
54301","12.5s  2.1s  3.7s  2.3s  2.4s  
54321","11.8s  2.1s  1.7s  2.7s  2.2s  
54021"
4,24,Riethmueller,Danilo,GER,3,"12.7s  2.5s  2.9s  2.6s  2.3s  
12345",29.7,"14.7s  2.8s  2.6s  2.7s  2.6s  
12345","13.3s  2.7s  2.8s  3.1s  2.6s  
54321","14.6s  3.0s  2.8s  3.2s  2.7s  
54021"
5,19,Soerum,Vebjoern,NOR,5,"14.0s  2.1s  2.0s  2.1s  2.2s  
04321",23.4,"16.8s  2.1s  2.4s  2.0s  2.1s  
54321","16.8s  1.7s  1.5s  1.9s  6.0s  
54301","10.8s  1.8s  5.0s  1.5s  2.0s  
50321"
6,9,Christiansen,Vetle Sjaastad,NOR,4,"13.7s  2.8s  3.1s  3.0s  2.6s  
54321",29.3,"14.7s  2.8s  2.8s  2.6s  2.6s  
54321","13.5s  2.9s  2.0s  2.3s  2.0s  
50321","13.4s  2.1s  6.4s  2.2s  2.2s  
04321"
7,4,Stroemsheim,Endre,NOR,16,"10.9s  2.4s  2.2s  2.2s  2.3s  
12345",20.5,"17.7s  2.5s  2.5s  2.6s  2.4s  
12345","11.2s  1.9s  1.8s  2.4s  2.1s  
10305","9.8s  2.0s  2.0s  1.9s  2.1s  
12345"
8,14,Boe,Tarjei,NOR,14,"17.2s  3.0s  2.6s  2.7s  2.8s  
12345",35.4,"17.3s  2.5s  2.6s  2.9s  2.6s  
12345","16.6s  1.8s  1.7s  1.9s  1.9s  
50021","17.3s  1.8s  1.8s  2.3s  10.0s  
54321"
9,1,Boe,Johannes Thingnes,NOR,11,"16.6s  1.9s  2.7s  2.3s  2.3s  
54301",24.6,"17.4s  2.3s  2.4s  2.6s  2.3s  
54321","15.5s  2.1s  2.1s  1.9s  2.1s  
04021","14.8s  1.9s  2.0s  1.8s  2.0s  
54021"
10,7,Samuelsson,Sebastian,SWE,6,"14.9s  2.6s  1.9s  2.2s  2.7s  
10345",33.2,"15.3s  2.5s  2.4s  2.3s  2.4s  
10345","12.8s  3.4s  2.7s  2.5s  3.3s  
04321","11.5s  3.8s  3.9s  7.4s  3.6s  
00321"
11,30,Strelow,Justus,GER,8,"6.6s  1.8s  1.8s  1.9s  2.0s  
54321",24.4,"13.1s  2.3s  2.1s  2.6s  2.1s  
54021","12.6s  2.2s  2.6s  2.3s  2.3s  
04321","11.8s  2.3s  2.1s  2.1s  2.2s  
54320"
